Name,Launch Site,State,Latitude,Longitude,Day,Year
DirecTV-14,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20141206,2014
DirecTV-15,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20150527,2015
DirecTV-1R ,Ocean Odyssey,California,40.012573,-74.151876,19991010,1999
DirecTV-4S ,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20011127,2001
DirecTV-7S ,Ocean Odyssey,California,40.012573,-74.151876,20040504,2004
DirecTV-9S,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20061013,2006
"DMSP 5D-2 F14 (Defense Meteorological Satellites Program, USA 131)",Vandenberg AFB,California,34.7425933,-120.5155986,19970404,1997
"DMSP 5D-3 F15 (Defense Meteorological Satellites Program, USA 147)",Vandenberg AFB,California,34.7425933,-120.5155986,19991212,1999
"DMSP 5D-3 F16 (Defense Meteorological Satellites Program, USA 172)",Vandenberg AFB,California,34.7425933,-120.5155986,20031018,2003
"DMSP 5D-3 F17 (Defense Meteorological Satellites Program, USA 173)",Vandenberg AFB,California,34.7425933,-120.5155986,20061104,2006
"DMSP 5D-3 F18 (Defense Meteorological Satellites Program, USA 210)",Vandenberg AFB,California,34.7425933,-120.5155986,20091018,2009
Dove 2e-1 (0 Flock 2E-1 0C37),International Space Center,Texas,29.5517223,-95.0985272,20160517,2016
Dove 2e-10 (0 Flock 2E-10 0C82),International Space Center,Texas,29.5517223,-95.0985272,20160601,2016
Dove 2e-11 (0 Flock 2E-11 0C13),International Space Center,Texas,29.5517223,-95.0985272,20160601,2016
Dove 2e-12 (0 Flock 2E-12 0C79),International Space Center,Texas,29.5517223,-95.0985272,20160601,2016
Dove 2e-2 (0 Flock 2E-2 0C78),International Space Center,Texas,29.5517223,-95.0985272,20160517,2016
Dove 2e-3 (0 Flock 2E-3 0C60),International Space Center,Texas,29.5517223,-95.0985272,20160517,2016
Dove 2e-4 (0 Flock 2E-4 0C41),International Space Center,Texas,29.5517223,-95.0985272,20160517,2016
Dove 2e-5 (0 Flock 2E-5 0C43),International Space Center,Texas,29.5517223,-95.0985272,20160530,2016
Dove 2e-6 (0 Flock 2E-6 0C75),International Space Center,Texas,29.5517223,-95.0985272,20160530,2016
Dove 2e-7 (0 Flock 2E-7 0C24),International Space Center,Texas,29.5517223,-95.0985272,20160531,2016
Dove 2e-8 (0 Flock 2E-8 0C2B),International Space Center,Texas,29.5517223,-95.0985272,20160531,2016
Dove 2e-9 (0 Flock 2E-9 0C14),International Space Center,Texas,29.5517223,-95.0985272,20160601,2016
