name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Bethel (a),5030,Valid,OC,18.3,Found,1968,34.23333,-103.38333,"(34.233330, -103.383330)"
Bethel (b),5031,Valid,H4,56.8,Found,1968,34.24667,-103.395,"(34.246670, -103.395000)"
Bethune,5033,Valid,EH4/5,67,Found,1941,39.3,-102.41667,"(39.300000, -102.416670)"
Big Horn Mountains,50765,Valid,H4,91.9,Found,2006,33.71333,-113.275,"(33.713330, -113.275000)"
Billings,5047,Valid,"Iron, IIIAB",24500,Found,1903,37.06667,-93.55,"(37.066670, -93.550000)"
Bishop Canyon,5058,Valid,"Iron, IVA",8600,Found,1912,38,-108.5,"(38.000000, -108.500000)"
Bison,5061,Valid,LL6,11000,Found,1958,38.30667,-99.71,"(38.306670, -99.710000)"
Black Mountain,5066,Valid,"Iron, IAB-MG",800,Found,1839,35.58333,-82.35,"(35.583330, -82.350000)"
Black Rock 001,32765,Valid,L6,152,Found,2003,40.86717,-119.18352,"(40.867170, -119.183520)"
Blackwater Draw,5067,Valid,H4,1500,Found,1979,34.20583,-103.22222,"(34.205830, -103.222220)"
Blackwood Creek,5069,Valid,H6,67,Found,1998,40.5,-101.08333,"(40.500000, -101.083330)"
Blakeman,56564,Valid,L4,113.7,Found,1983,39.91667,-101.2,"(39.916670, -101.200000)"
Bledsoe,5074,Valid,H4,30500,Found,1970,33.59167,-103.02667,"(33.591670, -103.026670)"
Blithfield,5075,Valid,EL6,1830,Found,1910,45.5,-77,"(45.500000, -77.000000)"
Blue Eagle,45972,Valid,R3-6,70,Found,2006,38.66167,-115.51833,"(38.661670, -115.518330)"
Bluebird,30445,Valid,L6,3650,Found,2002,35.8675,-114.19167,"(35.867500, -114.191670)"
Bluewater,5078,Valid,"Iron, IIIAB",9540,Found,1946,35.26667,-107.96667,"(35.266670, -107.966670)"
Bluewing 001,5079,Valid,Eucrite-mmict,6.1,Found,2000,40.2495,-118.93683,"(40.249500, -118.936830)"
Bluewing 002,5080,Valid,H5,23,Found,1999,40.24148,-118.94763,"(40.241480, -118.947630)"
Bluewing 003,5081,Valid,L6,95,Found,1999,40.26752,-118.94308,"(40.267520, -118.943080)"
Bluewing 004,5082,Valid,L5,113,Found,1999,40.27537,-118.9461,"(40.275370, -118.946100)"
Bluewing 005,5083,Valid,L5,7200,Found,1999,40.28563,-118.94657,"(40.285630, -118.946570)"
Bluewing 006,5084,Valid,L6,355,Found,1999,40.28338,-118.94808,"(40.283380, -118.948080)"
Bluewing 007,5085,Valid,L4,324,Found,1999,40.28247,-118.94872,"(40.282470, -118.948720)"
Bluewing 008,5086,Valid,H5,451.7,Found,2001,40.27957,-118.94642,"(40.279570, -118.946420)"
Bluewing 029,45959,Valid,H6,83.8,Found,2006,40.2628,-118.95912,"(40.262800, -118.959120)"
Bluewing 030,51574,Valid,H5,18.81,Found,1999,40.26667,-118.93333,"(40.266670, -118.933330)"
Bluewing 031,51575,Valid,H5,170,Found,1999,40.26667,-118.93333,"(40.266670, -118.933330)"
Bluewing 032,54474,Valid,L5,78,Found,1999,40.26667,-118.93333,"(40.266670, -118.933330)"
Bluewing 033,51576,Valid,L5,287.44,Found,1999,40.26667,-118.93333,"(40.266670, -118.933330)"
Bluewing 034,51577,Valid,H5,34,Found,1999,40.26667,-118.93333,"(40.266670, -118.933330)"
Bluewing 035,51578,Valid,L6,12.56,Found,1999,40.26667,-118.93333,"(40.266670, -118.933330)"
Bluewing 036,51579,Valid,L6,10.47,Found,1999,40.26667,-118.93333,"(40.266670, -118.933330)"
Bluewing 037,52962,Valid,H5,37.2,Found,2009,40.2819,-118.94693,"(40.281900, -118.946930)"
Bluff (a),5087,Valid,L5,153300,Found,1878,29.87861,-96.87222,"(29.878610, -96.872220)"
Bluff (b),5088,Valid,L4,16000,Found,1917,29.86306,-96.92667,"(29.863060, -96.926670)"
Boaz (stone),5091,Valid,H5,1800,Found,1968,33.65167,-103.70833,"(33.651670, -103.708330)"
Boerne,5095,Valid,H6,1100,Found,1932,29.8,-98.8,"(29.800000, -98.800000)"
Bonita Springs,5104,Valid,H5,41800,Found,1938,26.26667,-81.75,"(26.266670, -81.750000)"
Bonnie Claire 001,5105,Valid,H5,23.03,Found,1998,37.21667,-117.08333,"(37.216670, -117.083330)"
Bonnie Claire 002,5106,Valid,H5,80.8,Found,1998,37.21667,-117.08333,"(37.216670, -117.083330)"
Borrego,5115,Valid,L6,2126,Found,1930,33.26667,-116.38333,"(33.266670, -116.383330)"
Botetourt County,5116,Valid,Iron,500,Found,1850,37.5,-79.75,"(37.500000, -79.750000)"
Boulder Mine,52852,Valid,L5,1560,Found,2008,34.685,-114.323,"(34.685000, -114.323000)"
Bouse,35487,Valid,L4-6,147.4,Found,2004,33.96667,-114.06667,"(33.966670, -114.066670)"
Bowesmont,5124,Valid,L6,2270,Found,1962,48.68333,-97.16667,"(48.683330, -97.166670)"
Bowesmont (b),5125,Valid,L5,1300,Found,1972,48.78333,-97.35,"(48.783330, -97.350000)"
Brady,5129,Valid,L6,927,Found,1937,31.05,-99.46667,"(31.050000, -99.466670)"
Brainard,5131,Valid,"Iron, IIIAB",138300,Found,1978,41.15333,-96.955,"(41.153330, -96.955000)"
Brandon,5132,Valid,L6/7,7580,Found,1975,40.81,-101.80167,"(40.810000, -101.801670)"
Brenham,5136,Valid,"Pallasite, PMG-an",4300000,Found,1882,37.5825,-99.16361,"(37.582500, -99.163610)"
Brewster,5137,Valid,L6,17000,Found,1940,39.25,-101.33333,"(39.250000, -101.333330)"
Bridgewater,5139,Valid,"Iron, IID",13600,Found,1890,35.71667,-81.86667,"(35.716670, -81.866670)"
Briggsdale,5141,Valid,"Iron, IIIAB",2230,Found,1949,40.66667,-104.31667,"(40.666670, -104.316670)"
Briscoe,5142,Valid,L5,1773,Found,1940,34.35,-101.4,"(34.350000, -101.400000)"
Bristol,5143,Valid,"Iron, IVA",20000,Found,1937,36.56667,-82.18333,"(36.566670, -82.183330)"
Broken Bow,5145,Valid,H4,6800,Found,1937,41.43333,-99.7,"(41.433330, -99.700000)"
Bronco,5147,Valid,OC,972,Found,1971,33.28333,-102.96667,"(33.283330, -102.966670)"
Bronco (b),5148,Valid,OC,101,Found,1980,33.275,-102.96,"(33.275000, -102.960000)"
Bronco (c),5149,Valid,OC,53,Found,1980,33.275,-102.96,"(33.275000, -102.960000)"
Brownell,5150,Valid,L6,2000,Found,1971,38.69667,-99.70833,"(38.696670, -99.708330)"
Brownfield (1937),5151,Valid,H3.7,40960,Found,1937,33.21667,-102.18333,"(33.216670, -102.183330)"
Brownfield (1964),5152,Valid,H5,4100,Found,1964,33.21667,-102.18333,"(33.216670, -102.183330)"
Brownfield (c),5153,Valid,OC,1550,Found,1974,33.135,-102.27833,"(33.135000, -102.278330)"
Brownfield (iron),5154,Valid,"Iron, IID",1626,Found,1960,33.21667,-102.18333,"(33.216670, -102.183330)"
Bruceville,5155,Valid,L6,83000,Found,1998,38.295,-121.405,"(38.295000, -121.405000)"
Buck Mountain Wash,30446,Valid,H3-5,798,Found,2004,34.72453,-114.20883,"(34.724530, -114.208830)"
Buck Mountains 001,35488,Valid,H6,50,Found,2004,34.73245,-114.22257,"(34.732450, -114.222570)"
Buck Mountains 002,35489,Valid,L6,18.4,Found,2004,34.71933,-114.20783,"(34.719330, -114.207830)"
Buck Mountains 003,44705,Valid,L6,34200,Found,2005,34.7345,-114.21717,"(34.734500, -114.217170)"
Buck Mountains 004,55342,Valid,H3-6,145.8,Found,2005,34.70108,-114.18845,"(34.701080, -114.188450)"
Buck Mountains 005,55334,Valid,L6,859.7,Found,2007,34.70337,-114.19097,"(34.703370, -114.190970)"
Buenaventura,5162,Valid,"Iron, IIIAB",113600,Found,1969,29.8,-107.55,"(29.800000, -107.550000)"
Buffalo Gap,51831,Valid,"Iron, IAB-ung",9300,Found,2003,32.24611,-99.99306,"(32.246110, -99.993060)"
Bunker Hill,54611,Valid,L6,28000,Found,2002,38.84833,-98.72383,"(38.848330, -98.723830)"
Burdett,5167,Valid,H5,8600,Found,1940,38.23333,-99.53333,"(38.233330, -99.533330)"
Burkett,5170,Valid,"Iron, IAB-MG",8400,Found,1913,32.03333,-99.25,"(32.033330, -99.250000)"
Burlington,5172,Valid,"Iron, IIIE",68000,Found,1819,42.75,-75.18333,"(42.750000, -75.183330)"
Burns,57342,Valid,"Iron, IIIAB",18400,Found,2003,39.86667,-106.88333,"(39.866670, -106.883330)"
Burns Flat,5174,Valid,L6,1987,Found,1971,35.33333,-99.15,"(35.333330, -99.150000)"
Bushnell,5180,Valid,H4,1240,Found,1939,41.23333,-103.9,"(41.233330, -103.900000)"
Butler,5182,Valid,"Iron, ungrouped",41000,Found,1874,38.3,-94.36667,"(38.300000, -94.366670)"
Caddo County,5192,Valid,"Iron, IAB-ung",18000,Found,1987,35,-98.33333,"(35.000000, -98.333330)"
Caldwell,5197,Valid,L-imp melt,12900,Found,1961,37.03333,-97.625,"(37.033330, -97.625000)"
Calico Rock,5198,Valid,"Iron, IIAB",7275,Found,1938,36.08333,-92.15,"(36.083330, -92.150000)"
Calliham,5201,Valid,L6,40000,Found,1958,28.41667,-98.25,"(28.416670, -98.250000)"
Cambria,5203,Valid,"Iron, ungrouped",16300,Found,1818,43.2,-78.8,"(43.200000, -78.800000)"
Camp Creek,53490,Valid,H4,3016,Found,2009,33.88098,-111.78558,"(33.880980, -111.785580)"
Camp Wood,51830,Valid,"Iron, IIIAB",148000,Found,,29.7725,-99.875,"(29.772500, -99.875000)"
Campbellsville,5245,Valid,"Iron, IIIAB",15400,Found,1929,37.36667,-85.36667,"(37.366670, -85.366670)"
Canton,5254,Valid,"Iron, IIIAB",7030,Found,1894,34.2,-84.48333,"(34.200000, -84.483330)"
Canyon,5255,Valid,H?,860,Found,1957,34.96667,-101.93333,"(34.966670, -101.933330)"
Canyon City,5256,Valid,"Iron, IIIAB",8600,Found,1875,40.9,-123.1,"(40.900000, -123.100000)"
Canyon Diablo,5257,Valid,"Iron, IAB-MG",30000000,Found,1891,35.05,-111.03333,"(35.050000, -111.033330)"
Canyonlands,5258,Valid,H6,1520,Found,1961,38.18333,-109.88333,"(38.183330, -109.883330)"
Carbo,5266,Valid,"Iron, IID",454000,Found,1923,29.66667,-111.5,"(29.666670, -111.500000)"
Cargo Muchacho Mountains,50912,Valid,CO3,2860,Found,2000,32.91745,-114.767183,"(32.917450, -114.767183)"
Carichic,5270,Valid,H5,17000,Found,1983,27.93333,-107.05,"(27.933330, -107.050000)"
Carlton,5277,Valid,"Iron, IAB-sLM",81200,Found,1887,31.91667,-98.03333,"(31.916670, -98.033330)"
Carnegie,5278,Valid,L6,132700,Found,1963,35.16667,-98.64389,"(35.166670, -98.643890)"
Carthage,5282,Valid,"Iron, IIIAB",127000,Found,1840,36.26667,-85.98333,"(36.266670, -85.983330)"
Carver,5284,Valid,"Iron, IIAB",94000,Found,1935,32,-86,"(32.000000, -86.000000)"
Casas Grandes,5285,Valid,"Iron, IIIAB",1545000,Found,1867,30.4,-107.8,"(30.400000, -107.800000)"
Casey County,5286,Valid,"Iron, IAB-MG",723,Found,1877,37.25,-85,"(37.250000, -85.000000)"
Cashion,5287,Valid,H4,5896.8,Found,1936,35.84778,-97.70333,"(35.847780, -97.703330)"
Cat Mountain,5297,Valid,L5,2700,Found,1981,32.14833,-111.11167,"(32.148330, -111.111670)"
Cave Creek,5299,Valid,H4,1492,Found,1992,31.7045,-110.77917,"(31.704500, -110.779170)"
Cavour,5300,Valid,H6,26210,Found,1938,44.221494,-98.059192,"(44.221494, -98.059192)"
Cedar (Kansas),5302,Valid,H6,4900,Found,1937,39.7,-98.98333,"(39.700000, -98.983330)"
Cedar (Texas),5303,Valid,H4,26000,Found,1900,29.82806,-96.90861,"(29.828060, -96.908610)"
Cedartown,5304,Valid,"Iron, IIAB",11300,Found,1898,34.01667,-85.26667,"(34.016670, -85.266670)"
Cee Vee,5305,Valid,H5,3600,Found,1959,34.2,-100.48333,"(34.200000, -100.483330)"
Chamberlin,5317,Valid,H5,2400,Found,1941,36.2,-102.45,"(36.200000, -102.450000)"
Chambord,5318,Valid,"Iron, IIIAB",6600,Found,1904,48.45,-72.06667,"(48.450000, -72.066670)"
Chandler,53491,Valid,L6,350.4,Found,2009,33.24558,-111.89633,"(33.245580, -111.896330)"
Channing,5324,Valid,H5,15300,Found,1936,35.71667,-102.28333,"(35.716670, -102.283330)"
Chesterville,5343,Valid,"Iron, IIAB",16500,Found,1849,34.7,-81.2,"(34.700000, -81.200000)"
Chicago Valley,44706,Valid,L5,26,Found,2004,36.00217,-116.19633,"(36.002170, -116.196330)"
Chico,5346,Valid,L6,104800,Found,1954,36.5,-104.2,"(36.500000, -104.200000)"
Chico Hills,5347,Valid,H4,8030,Found,1951,36,-104.5,"(36.000000, -104.500000)"
Chico Mountains,5348,Valid,"Iron, IIAB",212,Found,1915,29,-103.25,"(29.000000, -103.250000)"
Chihuahua City,5350,Valid,"Iron, IC",54000,Found,1929,28.66667,-106.11667,"(28.666670, -106.116670)"
Chocolate Mountains,52013,Valid,Ureilite,699,Found,2004,33.01222,-114.86667,"(33.012220, -114.866670)"
Chuckwalla,5361,Valid,"Iron, IAB-MG",1802,Found,1992,35.25,-118.09067,"(35.250000, -118.090670)"
Chulafinnee,5362,Valid,"Iron, IIIAB",16220,Found,1873,33.5,-85.66667,"(33.500000, -85.666670)"
Chupaderos,5363,Valid,"Iron, IIIAB",24300000,Found,1852,27,-105.1,"(27.000000, -105.100000)"
Cimarron,5365,Valid,CM2,,Found,1948,37.85,-100.35,"(37.850000, -100.350000)"
Cincinnati,5366,Valid,"Iron, IIAB",1500,Found,1870,39.11667,-84.5,"(39.116670, -84.500000)"
Circle Back,5367,Valid,L6,2268,Found,1977,34.02806,-102.68,"(34.028060, -102.680000)"
Clarendon (a),5369,Valid,H5,1964,Found,1979,34.905,-100.91333,"(34.905000, -100.913330)"
Clarendon (b),5370,Valid,H5,26.8,Found,1981,34.93611,-100.94167,"(34.936110, -100.941670)"
Clareton,5371,Valid,L6,1050,Found,1931,43.7,-104.7,"(43.700000, -104.700000)"
Clark County,5373,Valid,"Iron, IIIF",11300,Found,1937,38,-84.16667,"(38.000000, -84.166670)"
Claytonville,5375,Valid,L5,15600,Found,1964,34.34667,-101.49,"(34.346670, -101.490000)"
Claytonville (b),5376,Valid,OC,5136,Found,1978,34.34833,-101.65833,"(34.348330, -101.658330)"
Cleburne,5377,Valid,"Iron, IVA",6800,Found,1907,32.31667,-97.41667,"(32.316670, -97.416670)"
Cleo Springs,5378,Valid,H4,24000,Found,1960,36.43333,-98.43333,"(36.433330, -98.433330)"
Cleveland,5379,Valid,"Iron, IIIAB",115000,Found,1860,34.88333,-84.78333,"(34.883330, -84.783330)"
Clifford,5380,Valid,L6,11360,Found,1962,39.1,-103.25833,"(39.100000, -103.258330)"
Clinton,5381,Valid,Iron,7700,Found,1950,36.08333,-84.2,"(36.083330, -84.200000)"
Clover Springs,5384,Valid,Mesosiderite-A2,7700,Found,1954,34.45,-111.36667,"(34.450000, -111.366670)"
Clovis (no. 1),5385,Valid,H3.6,283000,Found,1961,34.3,-103.13472,"(34.300000, -103.134720)"
Clovis (no. 2),5386,Valid,L6,41300,Found,1963,34.3,-103.13333,"(34.300000, -103.133330)"
Coahuila,5387,Valid,"Iron, IIAB",2100000,Found,1837,28.7,-102.73333,"(28.700000, -102.733330)"
Coffeyville,51051,Valid,H5,35900,Found,2006,37.01667,-95.66667,"(37.016670, -95.666670)"
Colby (Kansas),5394,Valid,H5,2400,Found,1940,39.41667,-101.05,"(39.416670, -101.050000)"
Coldwater (iron),5398,Valid,Iron,18400,Found,1923,37.26667,-99.33333,"(37.266670, -99.333330)"
Coldwater (stone),5399,Valid,H5,16000,Found,1924,37.26667,-99.33333,"(37.266670, -99.333330)"
Cole Creek,5400,Valid,H5,16300,Found,1991,41.35,-99.11667,"(41.350000, -99.116670)"
Colfax,5402,Valid,"Iron, IAB-ung",2300,Found,1880,35.3,-81.73333,"(35.300000, -81.733330)"
Colony,5407,Valid,CO3.0,3912,Found,1975,35.35,-98.68333,"(35.350000, -98.683330)"
Colorado Springs,5408,Valid,Iron,,Found,1950,38.83333,-104.83333,"(38.833330, -104.833330)"
Colton,5410,Valid,"Iron, IIIAB",19670,Found,1993,46.57056,-117.09861,"(46.570560, -117.098610)"
Columbus,5411,Valid,H5,165,Found,1997,31.82967,-107.3945,"(31.829670, -107.394500)"
Comanche (iron),5414,Valid,"Iron, IAB-sLL",19700,Found,1940,32.01667,-98.7,"(32.016670, -98.700000)"
Comanche (stone),5415,Valid,L5,2400,Found,1956,31.99167,-98.65167,"(31.991670, -98.651670)"
Conception Junction,53877,Valid,"Pallasite, PMG-an",17000,Found,2006,40.266667,-94.683333,"(40.266667, -94.683333)"
Concho,5417,Valid,L6,93500,Found,1939,32,-101.5,"(32.000000, -101.500000)"
Cookeville,5431,Valid,"Iron, IAB-ung",2300,Found,1913,36.16667,-85.51667,"(36.166670, -85.516670)"
Coolidge,5434,Valid,C4-ung,4500,Found,1937,38.03333,-101.98333,"(38.033330, -101.983330)"
Coon Butte,5436,Valid,L6,2750,Found,1905,35,-111,"(35.000000, -111.000000)"
Coopertown,5438,Valid,"Iron, IIIE",16800,Found,1860,36.43333,-87,"(36.433330, -87.000000)"
Cope,5440,Valid,H5,12000,Found,1934,39.66667,-102.83333,"(39.666670, -102.833330)"
Cope (b),5441,Valid,H5,817,Found,1967,39.68333,-102.845,"(39.683330, -102.845000)"
Cordes,44707,Valid,H4,54.5,Found,1998,34.30333,-112.16617,"(34.303330, -112.166170)"
Corn,54859,Valid,H5,5176,Found,1994,35.405,-98.74889,"(35.405000, -98.748890)"
Correo,5447,Valid,H4,1400,Found,1979,34.95,-107.16667,"(34.950000, -107.166670)"
Cortez,5449,Valid,H6,715.6,Found,1940,37.35,-108.68333,"(37.350000, -108.683330)"
Cosby's Creek,5450,Valid,"Iron, IAB-MG",960000,Found,1837,35.78333,-83.25,"(35.783330, -83.250000)"
Costilla Peak,5453,Valid,"Iron, IIIAB",35500,Found,1881,36.83333,-105.23333,"(36.833330, -105.233330)"
Cotesfield,5454,Valid,L6,1160,Found,1928,41.36667,-98.63333,"(41.366670, -98.633330)"
Cotopaxi,30451,Valid,"Iron, IAB-ung",243,Found,2000,38.46483,-105.7015,"(38.464830, -105.701500)"
Cottonwood,5455,Valid,H5,800,Found,1955,34.83333,-112.01667,"(34.833330, -112.016670)"
Covert,5456,Valid,H5,61000,Found,1896,39.2,-98.78333,"(39.200000, -98.783330)"
Coyote Dry Lake 001,30452,Valid,H5,338,Found,1995,35.05017,-116.76683,"(35.050170, -116.766830)"
Coyote Dry Lake 002,30453,Valid,H5-6,106.7,Found,1998,35.04753,-116.73092,"(35.047530, -116.730920)"
Coyote Dry Lake 003,30454,Valid,H5,255.72,Found,1998,35.08808,-116.75398,"(35.088080, -116.753980)"
Coyote Dry Lake 024,30455,Valid,H5,2430,Found,1999,35.0715,-116.77205,"(35.071500, -116.772050)"
Coyote Dry Lake 033,30456,Valid,H5,5220,Found,1999,35.05605,-116.7763,"(35.056050, -116.776300)"
Coyote Dry Lake 040,30457,Valid,H4,344,Found,1999,35.09373,-116.76343,"(35.093730, -116.763430)"
Coyote Dry Lake 054,30458,Valid,H5,392.8,Found,1999,35.07667,-116.74667,"(35.076670, -116.746670)"
Coyote Dry Lake 061,30459,Valid,H5,2134,Found,1999,35.05242,-116.7667,"(35.052420, -116.766700)"
Coyote Dry Lake 063,30460,Valid,H4,67.61,Found,1999,35.05878,-116.773,"(35.058780, -116.773000)"
Coyote Dry Lake 064,30461,Valid,H5,1364.31,Found,1999,35.05817,-116.7743,"(35.058170, -116.774300)"
Coyote Dry Lake 067,30462,Valid,L6,412.05,Found,1999,35.03815,-116.7531,"(35.038150, -116.753100)"
Coyote Dry Lake 080,30463,Valid,H5,278.1,Found,1999,35.07402,-116.76117,"(35.074020, -116.761170)"
Coyote Dry Lake 105,30464,Valid,H5,61.5,Found,1999,35.05073,-116.76698,"(35.050730, -116.766980)"
Coyote Dry Lake 110,30465,Valid,H4,68.02,Found,1999,35.04625,-116.73547,"(35.046250, -116.735470)"
Coyote Dry Lake 115,30466,Valid,H5-6,1369,Found,1999,35.05865,-116.76872,"(35.058650, -116.768720)"
Coyote Dry Lake 116,30467,Valid,H6,4.4,Found,1999,35.05847,-116.769,"(35.058470, -116.769000)"
Coyote Dry Lake 117,30468,Valid,H3,162,Found,1999,35.0501,-116.74443,"(35.050100, -116.744430)"
Coyote Dry Lake 119,30469,Valid,H5,3.2,Found,1999,35.03815,-116.7531,"(35.038150, -116.753100)"
